Data File Name,Scale Name,Column Name,Transform,Reverse,Min,Max,fmsi_affgrp,fsmi_affexc,fmsi_affind,fsmi_dis,fsmi_fam,fsmi_kin,fsmi_retgen,fsmi_retbrk,fsmi_prot,fsmi_stat,fsmi_mate
YADS-V_V2.0,FSMI,fsmi_qs_50,0,0,,,0,0,0,0,0,0,0,0,0,1,0
YADS-V_V2.0,FSMI,fsmi_qs_51,0,0,,,0,0,0,0,0,0,0,0,0,1,0
YADS-V_V2.0,FSMI,fsmi_qs_52,0,0,,,0,0,0,0,0,0,0,0,0,1,0
YADS-V_V2.0,FSMI,fsmi_qs_53,0,0,,,0,0,0,0,0,0,0,0,0,1,0
YADS-V_V2.0,FSMI,fsmi_qs_54,0,1,1,7,0,0,0,0,0,0,0,0,0,1,0
YADS-V_V2.0,FSMI,fsmi_qs_55,0,0,,,0,0,0,0,0,0,0,0,0,0,1
YADS-V_V2.0,FSMI,fsmi_qs_56,0,0,,,0,0,0,0,0,0,0,0,0,0,1
YADS-V_V2.0,FSMI,fsmi_qs_57,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1
YADS-V_V2.0,FSMI,fsmi_qs_58,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1
YADS-V_V2.0,FSMI,fsmi_qs_59,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1
YADS-V_V2.0,FSMI,fsmi_qs_60,0,0,,,0,0,0,0,0,0,0,0,0,0,1
YADS-V_V2.0,FSMI,fsmi_qs_61,0,0,,,0,0,0,0,1,0,0,0,0,0,0
YADS-V_V2.0,FSMI,fsmi_qs_62,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0
YADS-V_V2.0,FSMI,fsmi_qs_63,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0
YADS-V_V2.0,FSMI,fsmi_qs_64,0,1,1,7,0,0,0,0,1,0,0,0,0,0,0
YADS-V_V2.0,FSMI,fsmi_qs_65,0,0,,,0,0,0,0,1,0,0,0,0,0,0
YADS-V_V2.0,FSMI,fsmi_qs_66,0,0,,,0,0,0,0,1,0,0,0,0,0,0
